HRV,GSR,EMG,Condition
52.690544,5.3803606,8.107551,normal
49.171295,5.4733124,8.407268,normal
48.73503,5.0277214,7.510237,normal
47.833008,5.472359,7.684672,normal
50.113277,4.864443,7.8193045,normal
49.478985,5.099197,7.8636746,normal
49.778156,5.47536,7.5372925,normal
50.237972,5.8026657,8.76109,normal
50.23624,4.7448335,7.824794,normal
49.804813,5.275969,7.641435,normal
50.890102,5.3941765,7.4962454,normal
46.995068,4.532424,8.231257,normal
48.017532,5.1688604,8.444896,normal
53.253887,5.5425735,7.756109,normal
49.09923,5.870501,7.6756315,normal
48.893635,5.05044,7.518248,normal
50.04698,5.3864875,8.237884,normal
47.619385,5.5433865,8.017043,normal
47.763817,5.1431155,8.391659,normal
48.812897,5.3049335,7.9251246,normal
48.240273,5.4012766,7.4753914,normal
49.79642,4.893833,8.552155,normal
49.575695,5.0373435,7.385774,normal
51.012745,5.435917,7.6074443,normal
48.843487,4.86547,7.554651,normal
48.59298,5.12193,7.7725353,normal
47.7156,5.2546453,7.80922,normal
53.671936,4.7719045,8.636827,normal
51.087437,5.2708735,7.5552635,normal
48.92371,4.7370954,8.584375,normal
50.13974,4.907582,7.2871146,normal
46.88708,4.853001,8.154777,normal
46.9703,5.277572,8.49462,normal
51.601086,4.9972496,7.412781,normal
51.102615,5.306917,7.274357,normal
50.922436,5.1747174,7.7640157,normal
50.93193,5.144431,8.129877,normal
48.72624,5.1413984,7.9281297,normal
53.867207,5.4922147,7.8648977,normal
47.00802,5.006452,8.075709,normal
50.63431,4.6965094,7.758379,normal
50.539185,5.1800776,6.917302,normal
52.224552,4.9331107,8.0392685,normal
46.46387,5.280684,8.081121,normal
51.90622,4.7635093,8.330488,normal
52.60684,5.078466,7.683596,normal
45.89871,5.801234,8.225219,normal
47.71159,4.8097196,8.096825,normal
50.005028,5.299063,7.42471,normal
50.47659,5.8004494,7.731151,normal
49.418907,5.223444,7.13193,normal
50.27378,5.454936,7.3078103,normal
47.94424,5.06236,7.999307,normal
48.91556,5.2737503,7.3149695,normal
45.79581,5.2890368,7.809832,normal
48.568836,4.989587,7.946749,normal
46.30822,5.1970215,7.9143934,normal
47.280224,5.6563344,7.407249,normal
48.461708,4.754511,7.8043094,normal
50.577305,5.0053644,8.605479,normal
52.41788,5.2876925,7.0601673,normal
50.87676,5.421917,7.9452653,normal
54.10784,4.9588284,8.25456,normal
52.18688,5.0216794,8.197612,normal
50.35329,5.5695777,7.4364734,normal
48.21286,5.2336345,7.5836706,normal
49.343773,4.8507137,8.059473,normal
51.01917,5.3010197,7.3792405,normal
49.064224,4.8800397,7.790935,normal
46.64591,5.161172,7.7421517,normal
50.288845,5.64683,7.6118712,normal
51.629826,4.7755246,7.917372,normal
49.55622,5.181809,7.6957493,normal
49.47911,5.7164044,7.6172237,normal
53.993034,5.540759,8.287316,normal
49.673054,4.8957453,7.7732844,normal
50.212822,5.253924,7.4206495,normal
53.327087,5.634084,7.630135,normal
51.16251,5.6114163,7.524506,normal
48.66631,4.5041566,8.536011,normal
48.8646,5.2236896,8.216855,normal
51.45581,4.9684253,7.7922225,normal
52.28935,5.110095,8.142531,normal
49.049133,5.352248,8.0024,normal
47.474934,4.8851357,8.056813,normal
47.80586,5.5083413,8.206468,normal
52.772247,5.199738,9.01317,normal
49.212536,4.577409,8.487262,normal
48.89495,5.4407363,6.9330306,normal
52.87521,5.498263,8.114777,normal
49.964825,5.1425457,7.86424,normal
49.643772,5.609485,7.777163,normal
51.169304,4.7622714,7.932922,normal
50.089226,5.266904,8.088293,normal
50.70485,4.822508,8.170314,normal
50.957054,5.4669065,7.2484517,normal
49.216698,5.3551764,7.1874595,normal
50.173603,5.167326,8.163857,normal
47.959717,5.2037745,7.745135,normal
